title,needs_identification,missing_artwork,match_status,igdb_id
"Ultima - Kyouryuu Teikoku - The Savage Empire (English Translated by Nytegard, Rev 1.01)",True,True,Needs identification,
Ultima - The False Prophet (NA),True,False,Needs identification,
Unknown Top-Down Racing Game (Prototype),True,True,Needs identification,
Waterworld (NTSC Conversion),True,False,Needs identification: multiple matching editions,133281
Winter Olympic Games - Lillehammer '94 (NA),True,True,Needs identification,
"Wizardry I-II-III - Story of Llylgamyn (English Translated by Aeon Genesis With Fixes by Hengki Kusuma Adi, Rev 1.2 With IBM PC Item Names Patch, Rev 1.1)",True,True,Needs identification,
"Wizardry VI - Kindan no Mahitsu (English Translated by TiCo, Rev 0.99 With Bugfixes by MrRichard999)",True,False,Needs identification,
"Wonder Project J - Kikai no Shonen Pino (English Translated by WakdHacks, Rev 1.04)",True,True,Needs identification,
X-Men Vs. Street Fighter (TW),True,True,Needs identification,
"Xak - The Art of Visual Stage (English Translated by Dynamic Designs, Rev 1.1)",True,False,Needs identification: multiple matching editions,41769
Yu Yu Hakusho 2 - Kakutou no Shou (JP),True,False,Needs identification,
Zen-Nihon Pro Wres (JP),True,False,Needs identification,
