rom_title,result,igdb_id,catalog_title,igdb_url,search_stage,unconfirmed_candidates
Hakunetsu Pro Yakyuu '93 - Ganba League (JP),No confident match from search responses,,,,discovery,42558: Extra Innings; 38173: Hakunetsu Pro Yakyuu '94 Ganba League 3; 38174: Hakunetsu Pro Yakyuu Ganba League '93
Hammer Lock Wrestling (NA),recoverable,42589,Hammerlock Wrestling,https://www.igdb.com/games/hammerlock-wrestling,discovery,42589: Hammerlock Wrestling; 38283: Super Fire Pro Wrestling; 38404: WCW SuperBrawl Wrestling
Hatayama Hatch no Pro Yakyuu News! - Jitsumei Ban (JP),No confident match from search responses,,,,discovery,38010: Hatayama Hacchi no Pro Yakyuu News! Jitsumei-ban
Havoc (Prototype),No confident match from search responses,,,,discovery,171890: Hack; 42465: The Shadow; 367689: Hack 8
Hiouden - Mamonotachi to no Chikai (English Translated by Aeon Genesis),recoverable,60499,Hiouden: Mamono-tachi to no Chikai,https://www.igdb.com/games/hiouden-mamono-tachi-to-no-chikai,discovery,60499: Hiouden: Mamono-tachi to no Chikai; 38021: Ganso Pachi-Slot Nippon Ichi; 38021: Ganso Pachi-Slot Nippon Ichi
Hisshou Pachi-Slot Fun (JP),No confident match from search responses,,,,discovery,59911: Hisshou! Pachi-Slot Fan; 37856: Super Pachi-Slot Mahjong; 37899: Pachi-Slot Land: Pachi-pachi Coin no Densetsu
Hit the Ice - VHL (The Official Video Hockey League - NA),No confident match from search responses,,,,discovery,46208: Hit the Ice: The Video Hockey League
Hokuto no Ken 6 - Gekitou Denshouken Haou e no Michi (JP),No confident match from search responses,,,,discovery,38264: Hokuto no Ken 6: Gekitou Denshouken - Haou he no Michi; 38337: Hokuto no Ken 7: Seiken Retsuden Denshousha he no Michi; 38337: Hokuto no Ken 7: Seiken Retsuden Denshousha he no Michi
Honke Sankyo Fever 2 - Jikki Simulation (JP),No confident match from search responses,,,,discovery,37985: Honke Sankyo Fever: Jikki Simulation; 37983: Honke Sankyo Fever: Jikki Simulation 3; 37984: Honke Sankyo Fever: Jikki Simulation 2
Honke Sankyo Fever 3 - Jikki Simulation (JP),No confident match from search responses,,,,discovery,37985: Honke Sankyo Fever: Jikki Simulation; 37983: Honke Sankyo Fever: Jikki Simulation 3; 37984: Honke Sankyo Fever: Jikki Simulation 2
Hourai Gakuen no Bouken! - Tenkousei Scramble (English Translated by Aeon Genesis With Fixes by Advancedpillow),recoverable,42549,The Adventure of Hourai High School,https://www.igdb.com/games/the-adventure-of-hourai-high-school,discovery,42549: The Adventure of Hourai High School
"International Sensible Soccer - World Champions Limited Edition (Rev 1, NTSC Conversion)",No confident match from search responses,,,,discovery,42362: Super Formation Soccer 94: World Cup Edition; 42359: Super Formation Soccer 96: World Club Edition; 9862: International Superstar Soccer Deluxe
J.R.R. Tolkien's The Lord of the Rings - Volume 1 (NA),No confident match from search responses,,,,discovery,81467: J.R.R. Tolkien's Lord of the Rings: Volume 1; 81467: J.R.R. Tolkien's Lord of the Rings: Volume 1; 81467: J.R.R. Tolkien's Lord of the Rings: Volume 1
JWP Joshi Pro Wres - Pure Wrestle Queens (JP),No confident match from search responses,,,,discovery,38276: JWP Joshi Pro Wrestling: Pure Wrestle Queens; 38282: Super Fire Pro Wrestling: Queen's Special; 38305: Yoshi's Strange Quest
Jack Nicklaus Golf (NA),No confident match from search responses,,,,discovery,72175: Jack Nicklaus' Unlimited Golf & Course Design; 15240: Kick Off; 12714: PGA Tour Golf
"Jikkyou Powerful Pro Yakyuu '96 - Kaimaku Ban (JP, Rev 1)",recoverable,42644,Jikkyou Pawafuru Pro Yakyuu '96: Kaimaku-ban,https://www.igdb.com/games/jikkyou-pawafuru-pro-yakyuu-96-kaimaku-ban,discovery,42644: Jikkyou Pawafuru Pro Yakyuu '96: Kaimaku-ban
Jikkyou Powerful Pro Yakyuu - Basic Ban '98 (JP),No confident match from search responses,,,,discovery,37207: Jikkyou Pawafuru Pro Yakyuu: Basic-ban '98; 37207: Jikkyou Pawafuru Pro Yakyuu: Basic-ban '98; 42644: Jikkyou Pawafuru Pro Yakyuu '96: Kaimaku-ban
"Jikkyou Powerful Pro Yakyuu 3 - '97 Haru (JP, Rev 1)",recoverable,42733,Jikkyou Pawafuru Puroyakyu 3: '97 Haru,https://www.igdb.com/games/jikkyou-pawafuru-puroyakyu-3-97-haru,discovery,42733: Jikkyou Pawafuru Puroyakyu 3: '97 Haru
Jim Lee's WildC.A.T.S - Covert-Action-Teams (NA),recoverable,42510,Jim Lee's Wild C.A.T.S: Covert Action Teams,https://www.igdb.com/games/jim-lees-wild-c-dot-a-t-dot-s-covert-action-teams,discovery,42510: Jim Lee's Wild C.A.T.S: Covert Action Teams; 42510: Jim Lee's Wild C.A.T.S: Covert Action Teams
Jissen Pachi-Slot Hisshouhou! Twin Vol. 2 (JP),No confident match from search responses,,,,discovery,42252: Jissen Pachi-Slot Hisshouhou! Twin 2; 42645: Jissen Pachi-Slot Hisshouhou! Twin; 42256: Jissen Pachi-Slot Hisshouhou! 2
John Madden Football (NA),No confident match from search responses,,,,discovery,4245: John Madden Football '93; 4588: John Madden Football '92; 4381: Madden NFL '94
Jungle no Ouja Tar-chan - Sekaimanyuu Daikakutou no Maki (JP),No confident match from search responses,,,,discovery,38313: Jungle no Ouja Tar-chan: Sekai Manyu Dai Kakutou no Maki
Kat's Run - Zen-Nihon K-Car Senshuken (JP),No confident match from search responses,,,,discovery,38267: Kat's Run: Zen-Nippon K-Car Senshuken; 44411: Zen-Nihon GT Senshuken; 44411: Zen-Nihon GT Senshuken
Kidou Senshi V Gundam (English Translated by Twilight Translations),recoverable,42518,Kidou Senshi V-Gundam,https://www.igdb.com/games/kidou-senshi-v-gundam,discovery,42518: Kidou Senshi V-Gundam
"Kigurumi Daibouken - Dream Maze (English Translated by KingMike's Translations, Rev 1b)",No confident match from search responses,,,,discovery,38378: Yume Meikyuu: Kigurumi Daibouken; 38378: Yume Meikyuu: Kigurumi Daibouken; 38378: Yume Meikyuu: Kigurumi Daibouken
"Kirby no Kirakira Kizzu (English Translated by TheDanaAddams, Rev 1.1)",No confident match from search responses,,,,discovery,113211: Kirby's Star Stacker; 113211: Kirby's Star Stacker; 113211: Kirby's Star Stacker
Kishin Douji Zenki - Batoru Raiden (English Translated by Dynamic Designs),No confident match from search responses,,,,discovery,67613: Kishin Douji Zenki: Battle Raiden; 42538: Kishin Douji Zenki: Denei Raibu; 38360: Kishin Douji Zenki: Tenchi Meidou
"Kouryuu no Mimi (English Translated by RPGOne, Rev 2)",No confident match from search responses,,,,discovery,42385: Koryuu no Mimi; 42385: Koryuu no Mimi; 42650: Rise of the Phoenix
Kunio-kun no Dodge Ball Da yo Zenin Shuugou! - Tournament Special (JP),recoverable,36899,Kunio-kun no Dodgeball Da yo Zenin Shuugou!: Tournament Special,https://www.igdb.com/games/kunio-kun-no-dodgeball-da-yo-zenin-shuugou-tournament-special,discovery,"36899: Kunio-kun no Dodgeball Da yo Zenin Shuugou!: Tournament Special; 36899: Kunio-kun no Dodgeball Da yo Zenin Shuugou!: Tournament Special; 42516: Kunio's Dodgeball Time, C'mon Guys!"
"Kyuuyaku Megami Tensei I-II (English Translated, Rev 1.1)",No confident match from search responses,,,,discovery,23880: Kyuuyaku Megami Tensei; 23880: Kyuuyaku Megami Tensei; 23879: Shin Megami Tensei II
"Little Master - Nijiiro no Maseki (English Translated by DackR, Rev 2b)",recoverable,77085,Little Master: Niji-iro no Maseki,https://www.igdb.com/games/little-master-niji-iro-no-maseki--1,broad,77085: Little Master: Niji-iro no Maseki; 77085: Little Master: Niji-iro no Maseki; 77085: Little Master: Niji-iro no Maseki
Lupin Sansei - Densetsu no Hihou o Oe! (JP),No confident match from search responses,,,,discovery,42333: Lupin III: Densetsu no Hihou wo Oe!; 42333: Lupin III: Densetsu no Hihou wo Oe!; 38230: Aoki Densetsu Shoot!
"MACS Basic Rifle Marksmanship (NA, Rev 1.1e)",No confident match from search responses,,,,discovery,
"Madou Monogatari - Hanamaru Daiyouchi Enji (English Translated by Aeon Genesis, Rev 1.01)",recoverable,110397,Madou Monogatari: Hanamaru Daiyouchienji,https://www.igdb.com/games/madou-monogatari-hanamaru-daiyouchienji--1,discovery,110397: Madou Monogatari: Hanamaru Daiyouchienji; 110397: Madou Monogatari: Hanamaru Daiyouchienji; 6979: E.V.O.: Search for Eden
Mahou Poipoi Poitto! (English Translated by KingMike's Translations),recoverable,42377,Mahou Poi-poi Poitto!,https://www.igdb.com/games/mahou-poi-poi-poitto,discovery,42377: Mahou Poi-poi Poitto!; 65631: Hebereke's Popoitto; 48947: F1 Pole Position
Makeruna! Makendou 2 - Kimero! Youkai Souridaijin (JP),No confident match from search responses,,,,discovery,38265: Makeruna! Makendo 2: Kimero Yokai Souri; 38265: Makeruna! Makendo 2: Kimero Yokai Souri; 38265: Makeruna! Makendo 2: Kimero Yokai Souri
Math Blaster - Episode 1 (NA),No confident match from search responses,,,,discovery,4419: Math Blaster: Episode One - In Search of Spot; 271253: Blastris: Blastris B; 271252: Blastris: Blastris A
Matsumura Kunihiro Den - Saikyou no Rekishi o Nurikaero! (JP),No confident match from search responses,,,,discovery,38211: Matsumura Kunihiro-den: Saikyou no Rekishi wo Nurikaero!; 44401: Nomark Baku Haitou: Shijou Saikyou no Jakushi Tatsu; 38381: Arabian Nights: Sabaku no Seirei-ou
Mick & Mack as the Global Gladiators (Prototype),No confident match from search responses,,,,discovery,6828: Global Gladiators; 6828: Global Gladiators; 6828: Global Gladiators
Might and Magic II (NTSC Conversion),No confident match from search responses,,,,discovery,7734: Might and Magic II: Gates to Another World; 7734: Might and Magic II: Gates to Another World; 7735: Might and Magic III: Isles of Terra
Mighty Max (NA),No confident match from search responses,,,,discovery,73340: Atmosfear: The Third Dimension; 1741: Mega Man X; 7734: Might and Magic II: Gates to Another World
"Monopoly (NA, Rev 1)",recoverable,122241,Monopoly,https://www.igdb.com/games/monopoly--3,broad,37740: Monopoly; 122241: Monopoly
"Mortal Kombat II (NA, Rev 1)",recoverable,1619,Mortal Kombat II,https://www.igdb.com/games/mortal-kombat-ii,broad,1619: Mortal Kombat II; 242249: Mortal Kombat II
Moto-X (NA),No confident match from search responses,,,,discovery,246585: Mother 2 Deluxe; 264275: Molotov Man; 305370: Mother 2: Perfect Edition
Mr. Bloppy Saves the World (NA),No confident match from search responses,,,,discovery,"42659: Mr. Bloopy Saves the World; 278828: Super ""Sonic Saves the World"" World; 268350: Robfather World"
Muhammad Ali Heavyweight Boxing (Prototype),No confident match from search responses,,,,discovery,228360: Muhammad Ali; 228360: Muhammad Ali
NBA Jam XXX (Prototype),No confident match from search responses,,,,discovery,8995: NBA Jam; 19712: NBA Jam Tournament Edition; 19712: NBA Jam Tournament Edition
Naxat Super Pinball - Jaki Crush (JP),No confident match from search responses,,,,discovery,38361: Jaki Crush; 38272: Super Pinball II: The Amazing Odyssey; 37843: Super Birdie Rush
Network Q Rally (Prototype),No confident match from search responses,,,,discovery,38111: The King of Rally; 12720: Power Drive; 268009: Bowser's Valley
"Neugier - The Journey Home (English Translated by Haeleth & RPGOne, Rev 2)",No confident match from search responses,,,,discovery,42504: Lester the Unlikely; 42344: Buck Rogers: The Arcade Game; 204616: Disney's The Jungle Book
Neuro de Fuzzy Shooting (Prototype),No confident match from search responses,,,,discovery,37907: Nice de Shot: World Course Selections; 42480: NCAA Basketball; 38230: Aoki Densetsu Shoot!
"New 3D Golf Simulation - Harukanaru Augusta (JP, Rev 1)",recoverable,37909,Harukanaru Augusta,https://www.igdb.com/games/harukanaru-augusta,discovery,37909: Harukanaru Augusta
Newman Haas IndyCar featuring Nigel Mansell (NA),recoverable,22841,Newman/Haas IndyCar featuring Nigel Mansell,https://www.igdb.com/games/newman-slash-haas-indycar-featuring-nigel-mansell,discovery,22841: Newman/Haas IndyCar featuring Nigel Mansell
Nichibutsu Arcade Classics 2 - Heiankyou Alien (JP),No confident match from search responses,,,,discovery,38180: Nichibutsu Arcade Classics 2: Heiankyo Alien; 38165: Nichibutsu Arcade Classics
Ninjawarriors (NA),recoverable,42654,Ninja Warriors,https://www.igdb.com/games/ninja-warriors,discovery,42654: Ninja Warriors; 42654: Ninja Warriors; 268104: Ninja World
Nishijin Pachinko Monogatari 3 (English Translated by MrRichard999),No confident match from search responses,,,,discovery,37902: Nishijin Pachinko Monogatari 2; 37903: Nishijin Pachinko Monogatari; 66869: Pachinko Monogatari 2: Nagoya Shachihoko no Teiou
Nontan to Issho - Kurukuru Puzzle (JP),recoverable,44400,Nontan to Issho: Kuru-kuru Puzzle,https://www.igdb.com/games/nontan-to-issho-kuru-kuru-puzzle,discovery,44400: Nontan to Issho: Kuru-kuru Puzzle
Nuke (Or Why Men Make Bombs - NA),No confident match from search responses,,,,discovery,
Oonita Atsushi FMW (JP),No confident match from search responses,,,,discovery,38229: Onita Atsushi FMW; 44383: Oozumou Tamashii
Operation Logic Bomb - The Ultimate Search & Destroy (NA),recoverable,42653,Operation Logic Bomb,https://www.igdb.com/games/operation-logic-bomb,discovery,42653: Operation Logic Bomb
Operation Starfi5h (NTSC Conversion),No confident match from search responses,,,,discovery,5926: James Pond 3: Operation Starfish; 5926: James Pond 3: Operation Starfish; 273867: Super Mario Starlight
Ossu!! Karate-bu (JP),No confident match from search responses,,,,discovery,38382: Osu!! Karate Bu; 38382: Osu!! Karate Bu; 38382: Osu!! Karate Bu
Parame ROM Cassette Vol. 2 (JP),No confident match from search responses,,,,discovery,148421: Picross NP Vol. 2; 37840: Super Chinese World 2: Uchuu Ichi Butou Taikai; 38304: Super Casino 2
"Parlor! Mini - Pachinko Jikki Simulation Game (JP, Rev 1)",No confident match from search responses,,,,discovery,66865: Heiwa Parlor! Mini 8: Pachinko Jikki Simulation Game; 37876: Pro Kishi Jinsei Simulation: Shogi no Hanamichi; 37876: Pro Kishi Jinsei Simulation: Shogi no Hanamichi
Parlor! Mini 2 - Pachinko Jikki Simulation Game (JP),No confident match from search responses,,,,discovery,66865: Heiwa Parlor! Mini 8: Pachinko Jikki Simulation Game; 37876: Pro Kishi Jinsei Simulation: Shogi no Hanamichi; 37876: Pro Kishi Jinsei Simulation: Shogi no Hanamichi
Parodius Da! - Shinwa kara Owarai e (JP),No confident match from search responses,,,,discovery,174910: Parodius; 174910: Parodius; 44436: Esparks: Ijikuu kara no Raihousha
Pokemon Gold & Silver (TW),No confident match from search responses,,,,discovery,45692: Pocket Monster; 5423: PowerMonger; 163098: Pokémon Stadium
Pokemon Stadium (TW),recoverable,163098,Pokémon Stadium,https://www.igdb.com/games/pokemon-stadium--1,discovery,163098: Pokémon Stadium
Popeye - Ijiwaru Majo Sea Hag no Maki (English Translated by KingMike's Translations),recoverable,38310,Popeye,https://www.igdb.com/games/popeye--8,discovery,38310: Popeye; 67712: Akagawa Jirou: Majo-tachi no Nemuri; 67712: Akagawa Jirou: Majo-tachi no Nemuri
Populous (NA),ambiguous or truncated,,,,aliases,248: Populous; 353710: Populous
Power Slide (Prototype - NTSC Conversion),recoverable,214976,Powerslide,https://www.igdb.com/games/powerslide--1,discovery,214976: Powerslide; 12720: Power Drive; 46225: Deadly Moves
Q-bert 3 (NA),recoverable,42469,Q*bert 3,https://www.igdb.com/games/q-star-bert-3,discovery,42469: Q*bert 3
Quinty (Prorotype),No confident match from search responses,,,,discovery,142129: Rayman; 42574: Super R-Type; 319922: Quinty
R-Type III (NA),No confident match from search responses,,,,discovery,42574: Super R-Type; 6550: R-Type III: The Third Lightning; 42334: Hyper Iria
Raiden Trad (NA),ambiguous or truncated,,,,aliases,6841: Raiden; 46211: Raiden Trad
Ranma 1-2 - Akanekodan Teki Hihou (English Translated by Dynamic Designs With Anime Names),recoverable,38278,Ranma ½: Aka Neko-dan Teki Hihou,https://www.igdb.com/games/ranma-half-aka-neko-dan-teki-hihou,discovery,38278: Ranma ½: Aka Neko-dan Teki Hihou
"Ranma 1-2 - Chougi Ranbu Hen (English Translated by Dynamic Designs, Rev 1.1 With Framerate Hack Patch by Upsilandre, Rev 1.4)",recoverable,42739,Ranma ½: Chougi Ranbu-hen,https://www.igdb.com/games/ranma-half-chougi-ranbu-hen,discovery,42739: Ranma ½: Chougi Ranbu-hen
Ranma 1-2 - Chounai Gekitou Hen (JP),recoverable,75857,Ranma ½: Chounai Gekitou-hen,https://www.igdb.com/games/ranma-half-chounai-gekitou-hen,discovery,75857: Ranma ½: Chounai Gekitou-hen
Ranma 1-2 - Hard Battle (NA),recoverable,44462,Ranma 1/2: Hard Battle,https://www.igdb.com/games/ranma-1-slash-2-hard-battle,discovery,44462: Ranma 1/2: Hard Battle
Ranma 1-2 - Ougi Jaanken (JP),recoverable,42410,Ranma 1/2: Ougi Jaanken,https://www.igdb.com/games/ranma-1-slash-2-ougi-jaanken,discovery,42410: Ranma 1/2: Ougi Jaanken
Reverse Kids (JP),No confident match from search responses,,,,discovery,42626: Bebe's Kids; 338839: Reverie; 4302: Soccer Kid
Rival Turf! (NA),recoverable,42467,Rival Turf!,https://www.igdb.com/games/rival-turf,broad,42467: Rival Turf!; 276932: Rushing Beat: Translation
Road Runner (Prototype),No confident match from search responses,,,,discovery,214982: Wile E's Revenge; 44437: Solid Runner; 38243: Power Lode Runner
"Romancing Sa-Ga (English Translated by DDSTranslation, Rev 1.2)",recoverable,11311,Romancing SaGa,https://www.igdb.com/games/romancing-saga,discovery,11311: Romancing SaGa; 11313: Romancing SaGa 3; 11312: Romancing SaGa 2
Shin Nihon Pro Wrestling Kounin - '94 Battlefield in Tokyo Dome (JP),No confident match from search responses,,,,discovery,61304: Shin Nippon Pro Wrestling '94: Battlefield in Tokyo Dome; 61304: Shin Nippon Pro Wrestling '94: Battlefield in Tokyo Dome; 61317: Shin Nippon Pro Wrestling: Chou Senshi in Tokyo Dome - Fantastic Story
