rom_title,igdb_id,identity_confirmed_or_recoverable,available_route,libretro_url,libretro_http_status,steamgrid_id,steamgrid_url,steamgrid_portrait_count,steamgrid_identity_caution,igdb_image_url,igdb_image_http_status
"Chou Aniki - Bakuretsu Rantou Hen (English Translated by Stardust Crusaders, Rev 1.01)",42391,True,Libretro regional filename,https://thumbnails.libretro.com/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Boxarts/Chou%20Aniki%20-%20Bakuretsu%20Rantou%20Hen%20%28Japan%29.png,200,,,0,,,
"Chou Mahou Tairiku Wozz (English Translated by Translation Corporation, Rev 1.1)",16296,True,Libretro regional filename,https://thumbnails.libretro.com/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Boxarts/Chou%20Mahou%20Tairiku%20Wozz%20%28Japan%29.png,200,,,0,,,
"Clockwerx (English Translated by MrRichard999, Rev 0.75)",38198,True,Libretro regional filename,https://thumbnails.libretro.com/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Boxarts/Clockwerx%20%28Japan%29.png,200,,,0,,,
Congo - The Movie (Secret of Zinj - Prototype),,False,Manual review or artwork still needed,,,,,0,Unidentified ROM: title-only results may be another platform or game,,
"Cooly Skunk (Prototype - English Translated by Psyklax, Rev 1.1 With Enable Password Patch by Denim, Rev 1.1)",132647,True,IGDB image fallback,,,,,0,,https://images.igdb.com/igdb/image/upload/t_cover_big_2x/co3lgj.jpg,200
Corn Buster (Prototype),42565,True,IGDB image fallback,,,,,0,,https://images.igdb.com/igdb/image/upload/t_cover_big_2x/co9v39.jpg,200
"Cotton 100% - Maerchen Adventure (English Translated by Ellen, Sven, and Svambo, Rev 1.1)",,False,Manual review or artwork still needed,,,,,0,Unidentified ROM: title-only results may be another platform or game,,
"Cu-On-Pa SFC (English Translated by Aeon Genesis, Rev 1)",64338,True,Libretro regional filename,https://thumbnails.libretro.com/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Boxarts/Cu-On-Pa%20SFC%20%28Japan%29.png,200,,,0,,,
Cyborg 009 (English Translated by Aeon Genesis and J2e Translations),84111,True,Libretro regional filename,https://thumbnails.libretro.com/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Boxarts/Cyborg%20009%20%28Japan%29.png,200,,,0,,,
Dark Law - Meaning of Death (English Translated by Aeon Genesis),15898,True,Libretro regional filename,https://thumbnails.libretro.com/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Boxarts/Dark%20Law%20-%20Meaning%20of%20Death%20%28Japan%29.png,200,,,0,,,
Digimon Adventure (TW),247397,True,IGDB image fallback,,,,,0,Unlicensed ROM: manual grid choice required,https://images.igdb.com/igdb/image/upload/t_cover_big_2x/co7znl.jpg,200
"DoReMi Fantasy - Milon no DokiDoki Daibouken (English Translated by Gaijin Productions and RPGOne, Rev 1.3)",15908,True,SteamGridDB title/year candidate,,,5277041,https://www.steamgriddb.com/game/5277041,2,,,
"Dokapon 3-2-1 - Arashi o Yobu Yuujou (English Translated by Krokodyl, Rev 1.4)",,False,Libretro regional filename,https://thumbnails.libretro.com/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Boxarts/Dokapon%203-2-1%20-%20Arashi%20o%20Yobu%20Yuujou%20%28Japan%29.png,200,5443930,https://www.steamgriddb.com/game/5443930,1,Unidentified ROM: title-only results may be another platform or game,,
Dokapon Gaiden - Honoo no Audition (English Translated by Krokodyl),38132,True,Libretro regional filename,https://thumbnails.libretro.com/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Boxarts/Dokapon%20Gaiden%20-%20Honoo%20no%20Audition%20%28Japan%29.png,200,,,0,,,
Dossun! Ganseki Battle (English Translated by Aeon Genesis),42560,True,Libretro regional filename,https://thumbnails.libretro.com/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Boxarts/Dossun%21%20Ganseki%20Battle%20%28Japan%29.png,200,,,0,,,
Dr. Mario (JP),179222,True,IGDB image fallback,,,,,0,,https://images.igdb.com/igdb/image/upload/t_cover_big_2x/co47p9.jpg,200
Dragon Ball Z - Final Bout (TW),229063,True,IGDB image fallback,,,,,0,Unlicensed ROM: manual grid choice required,https://images.igdb.com/igdb/image/upload/t_cover_big_2x/co5yys.jpg,200
Dragon Ball Z - Super Gokuden - Kakusei Hen (English Translated by Commando Ginew),74038,True,SteamGridDB title/year candidate,,,5282808,https://www.steamgriddb.com/game/5282808,3,,,
"Dragon Ball Z - Super Gokuden - Totsugeki Hen (English Translated by Kakkoii Translations, Rev 0.98 With Anime Names)",38396,True,SteamGridDB title/year candidate,,,5282807,https://www.steamgriddb.com/game/5282807,7,,,
ESPN Speedworld (NA),46217,True,Libretro regional filename; SteamGridDB title/year candidate,https://thumbnails.libretro.com/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Boxarts/ESPN%20Speedworld%20%28USA%29.png,200,33633,https://www.steamgriddb.com/game/33633,3,,,
Earth Light (English Translated by Nezz),42248,True,Libretro regional filename,https://thumbnails.libretro.com/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Boxarts/Earth%20Light%20%28Japan%29.png,200,,,0,,,
Emit Vol. 3 - Watashi ni Sayonara o (JP),,False,Libretro regional filename,https://thumbnails.libretro.com/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Boxarts/Emit%20Vol.%203%20-%20Watashi%20ni%20Sayonara%20o%20%28Japan%29.png,200,,,0,Unidentified ROM: title-only results may be another platform or game,,
Eurit (Prototype),42246,True,IGDB image fallback,,,,,0,,https://images.igdb.com/igdb/image/upload/t_cover_big_2x/co5yyz.jpg,200
Exertainment Mountain Bike Rally + Speed Racer (NA),60204,True,Libretro regional filename,https://thumbnails.libretro.com/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Boxarts/Exertainment%20Mountain%20Bike%20Rally%20%2B%20Speed%20Racer%20%28USA%29.png,200,,,0,,,
F-1 Grand Prix (JP),46837,True,Libretro regional filename,https://thumbnails.libretro.com/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Boxarts/F-1%20Grand%20Prix%20%28Japan%29.png,200,,,0,,,
"F-1 Grand Prix - Part II (English Translated by MrRichard999, Rev 0.5)",38335,True,Libretro regional filename,https://thumbnails.libretro.com/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Boxarts/F-1%20Grand%20Prix%20-%20Part%20II%20%28Japan%29.png,200,,,0,,,
"F-1 Grand Prix - Part III (English Translated by MrRichard999, Rev 0.5)",38362,True,Libretro regional filename,https://thumbnails.libretro.com/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Boxarts/F-1%20Grand%20Prix%20-%20Part%20III%20%28Japan%29.png,200,,,0,,,
F1 Pole Position 2 (NTSC Conversion),42557,True,Libretro regional filename,https://thumbnails.libretro.com/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Boxarts/F1%20Pole%20Position%202%20%28Europe%29.png,200,,,0,,,
F1-ROC II - Race of Champions (NA),42572,True,Libretro regional filename; SteamGridDB title/year candidate,https://thumbnails.libretro.com/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Boxarts/F1-ROC%20II%20-%20Race%20of%20Champions%20%28USA%29.png,200,35800,https://www.steamgriddb.com/game/35800,1,,,
Famicom Tantei Club Part II - Ushiro ni Tatsu Shoujo (English Translated by Demiforce),148062,True,IGDB image fallback,,,,,0,,https://images.igdb.com/igdb/image/upload/t_cover_big_2x/coaze3.jpg,200
Fighter's History - Mizoguchi Kikiippatsu!! (JP),58791,True,Libretro regional filename,https://thumbnails.libretro.com/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Boxarts/Fighter%27s%20History%20-%20Mizoguchi%20Kikiippatsu%21%21%20%28Japan%29.png,200,,,0,,,
Finalset (JP),44430,True,Libretro regional filename,https://thumbnails.libretro.com/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Boxarts/Finalset%20%28Japan%29.png,200,,,0,,,
Firearm (Prototype),206762,True,IGDB image fallback,,,,,0,,https://images.igdb.com/igdb/image/upload/t_cover_big_2x/co5z0q.jpg,200
Fireteam Rogue (Prototype),42244,True,IGDB image fallback,,,,,0,,https://images.igdb.com/igdb/image/upload/t_cover_big_2x/co555y.jpg,200
FrogNES (NA),,False,Manual review or artwork still needed,,,,,0,Unidentified ROM: title-only results may be another platform or game,,
"Front Mission Series - Gun Hazard (English Translated by Aeon Genesis, Rev 1.01)",1499,True,Libretro regional filename,https://thumbnails.libretro.com/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Boxarts/Front%20Mission%20Series%20-%20Gun%20Hazard%20%28Japan%29.png,200,,,0,,,
Funaki Masakatsu Hybrid Wrestler - Tougi Denshou (English Translated by Phil),44459,True,Libretro regional filename,https://thumbnails.libretro.com/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Boxarts/Funaki%20Masakatsu%20Hybrid%20Wrestler%20-%20Tougi%20Denshou%20%28Japan%29.png,200,,,0,,,
G.O.D. - Mezameyo to Yobu Koe ga Kikoe (English Translated by Dynamic Designs),42433,True,IGDB image fallback,,,,,0,,https://images.igdb.com/igdb/image/upload/t_cover_big_2x/co3c1z.jpg,200
Galaxy Wars (JP),39990,True,IGDB image fallback,,,,,0,,https://images.igdb.com/igdb/image/upload/t_cover_big_2x/ebagvbeo8zsf4kailiac.jpg,200
"Ganbare Goemon - Boku ga Dancer ni Natta Riyuu - Kirakira Douchuu (English Translated by DDSTranslation, Rev 3 With Ganbare Title Screen Patch by Djungelurban)",,False,Manual review or artwork still needed,,,,,0,Unidentified ROM: title-only results may be another platform or game,,
"Ganbare Goemon - Yuki Hime Kyuushutsu Emaki (English Translated by DDSTranslation, Rev 2 With SRAM Hack by FlashPV, Rev 1.02)",,False,Libretro regional filename,https://thumbnails.libretro.com/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Boxarts/Ganbare%20Goemon%20-%20Yuki%20Hime%20Kyuushutsu%20Emaki%20%28Japan%29.png,200,,,0,Unidentified ROM: title-only results may be another platform or game,,
"Ganbare Goemon 2 - Kiteretsu Shougun Magginesu (English Translated by DDSTranslation, Rev 3 With Ganbare Title Screen Patch by Djungelurban)",,False,Libretro regional filename,https://thumbnails.libretro.com/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Boxarts/Ganbare%20Goemon%202%20-%20Kiteretsu%20Shougun%20Magginesu%20%28Japan%29.png,200,,,0,Unidentified ROM: title-only results may be another platform or game,,
"Ganbare Goemon 3 - Shishi Juurokubee no Karakuri Manjigatame (English Translated by DDSTranslation, Rev 4 With Ganbare Title Screen Patch by Djungelurban)",42412,True,Libretro regional filename,https://thumbnails.libretro.com/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Boxarts/Ganbare%20Goemon%203%20-%20Shishi%20Juurokubee%20no%20Karakuri%20Manjigatame%20%28Japan%29.png,200,,,0,,,
"Ganpuru - Gunman's Proof (English Translated by Aeon Genesis, Rev 1.03)",42590,True,Libretro regional filename,https://thumbnails.libretro.com/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Boxarts/Ganpuru%20-%20Gunman%27s%20Proof%20%28Japan%29.png,200,,,0,,,
Gekitou Burning Pro Wrestling (English Translated by Phil),42593,True,IGDB image fallback,,,,,0,,https://images.igdb.com/igdb/image/upload/t_cover_big_2x/mrlktvfcjcym5ks3zuze.jpg,200
"Go Go Ackman 2 (English Translated by Anime_World, Bunkai, and Retroman, Rev 1.1)",16132,True,Libretro regional filename,https://thumbnails.libretro.com/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Boxarts/Go%20Go%20Ackman%202%20%28Japan%29.png,200,,,0,,,
"Go Go Ackman 3 (English Translated by Reld, Rev 20200105)",16137,True,Libretro regional filename,https://thumbnails.libretro.com/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Boxarts/Go%20Go%20Ackman%203%20%28Japan%29.png,200,,,0,,,
"Go! Go! Dodge League (JP, Rev 1)",42274,True,Libretro regional filename,https://thumbnails.libretro.com/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Boxarts/Go%21%20Go%21%20Dodge%20League%20%28Japan%29.png,200,,,0,,,
"Gokujou Parodius (English Translated and SRAM Patched by Blizzz, Rev 1.1a With FastROM Hack by Kandowontu)",,False,Libretro regional filename,https://thumbnails.libretro.com/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Boxarts/Gokujou%20Parodius%20%28Japan%29.png,200,5325732,https://www.steamgriddb.com/game/5325732,3,Unidentified ROM: title-only results may be another platform or game,,
Golf Daisuki! - O.B. Club (English Translated by Dynamic Designs),,False,Manual review or artwork still needed,,,,,0,Unidentified ROM: title-only results may be another platform or game,,
Gourmet Warriors (NA),42592,True,IGDB image fallback,https://thumbnails.libretro.com/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Boxarts/Gourmet%20Warriors%20%28USA%29.png,404,,,0,,https://images.igdb.com/igdb/image/upload/t_cover_big_2x/co4n1b.jpg,200
Hamelin no Violin Hiki (English Translated by J2e Translations),38365,True,IGDB image fallback,,,,,0,,https://images.igdb.com/igdb/image/upload/t_cover_big_2x/co7ixy.jpg,200
Havoc (Prototype),,False,Manual review or artwork still needed,,,,,0,Unidentified ROM: title-only results may be another platform or game,,
Hercules (NA),46158,True,Manual review or artwork still needed,,,,,0,,,
Hercules 2 (TW),46158,True,Manual review or artwork still needed,,,,,0,Unlicensed ROM: manual grid choice required,,
Hiouden - Mamonotachi to no Chikai (English Translated by Aeon Genesis),60499,True,IGDB image fallback,,,,,0,,https://images.igdb.com/igdb/image/upload/t_cover_big_2x/cobxjz.jpg,200
Hit the Ice - VHL (The Official Video Hockey League - NA),,False,Manual review or artwork still needed,,,,,0,Unidentified ROM: title-only results may be another platform or game,,
"Holy Umbrella - Dondera no Mubou!! (English Translated by Aeon Genesis With FastROM Hack by Kandowontu, Rev 1.1)",38386,True,Libretro regional filename,https://thumbnails.libretro.com/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Boxarts/Holy%20Umbrella%20-%20Dondera%20no%20Mubou%21%21%20%28Japan%29.png,200,,,0,,,
Hourai Gakuen no Bouken! - Tenkousei Scramble (English Translated by Aeon Genesis With Fixes by Advancedpillow),42549,True,Libretro regional filename; SteamGridDB title/year candidate,https://thumbnails.libretro.com/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Boxarts/Hourai%20Gakuen%20no%20Bouken%21%20-%20Tenkousei%20Scramble%20%28Japan%29.png,200,5473584,https://www.steamgriddb.com/game/5473584,1,,,
Human Grand Prix III - F1 Triple Battle (JP),38172,True,IGDB image fallback,,,,,0,,https://images.igdb.com/igdb/image/upload/t_cover_big_2x/mev5vdgh9egwgkkdtsc2.jpg,200
Human Grand Prix IV - F1 Dream Battle (JP),38171,True,IGDB image fallback,,,,,0,,https://images.igdb.com/igdb/image/upload/t_cover_big_2x/co4xs1.jpg,200
Inazuma Serve da! Super Beach Volley (JP),38170,True,IGDB image fallback,,,,,0,,https://images.igdb.com/igdb/image/upload/t_cover_big_2x/cobxk1.jpg,200
"International Sensible Soccer - World Champions Limited Edition (Rev 1, NTSC Conversion)",,False,Manual review or artwork still needed,,,,,0,Unidentified ROM: title-only results may be another platform or game,,
"J.League Excite Stage '96 (JP, Rev 1)",42657,True,Libretro regional filename,https://thumbnails.libretro.com/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Boxarts/J.League%20Excite%20Stage%20%2796%20%28Japan%29.png,200,,,0,,,
"J.League Soccer - Prime Goal (JP, Rev 1)",38330,True,Libretro regional filename,https://thumbnails.libretro.com/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Boxarts/J.League%20Soccer%20-%20Prime%20Goal%20%28Japan%29.png,200,,,0,,,
"Jaleco Rally Big Run - The Supreme 4WD Challenge (JP, Rev 1)",38169,True,IGDB image fallback,,,,,0,,https://images.igdb.com/igdb/image/upload/t_cover_big_2x/co8eel.jpg,200
Jeff's Shoot'em Up (Prototype),42494,True,IGDB image fallback,,,,,0,,https://images.igdb.com/igdb/image/upload/t_cover_big_2x/co5z1k.jpg,200
"Jikkyou Oshaberi Parodius (English Translated by Advancedpillow, Onereto, and Reld With FastROM Hack by Kandowontu)",38390,True,Libretro regional filename; SteamGridDB title/year candidate,https://thumbnails.libretro.com/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Boxarts/Jikkyou%20Oshaberi%20Parodius%20%28Japan%29.png,200,5360169,https://www.steamgriddb.com/game/5360169,5,,,
Jikkyou Power Pro Wrestling '96 - Max Voltage (English Translated by Phil),42415,True,Libretro regional filename,https://thumbnails.libretro.com/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Boxarts/Jikkyou%20Power%20Pro%20Wrestling%20%2796%20-%20Max%20Voltage%20%28Japan%29.png,200,,,0,,,
"Jikkyou Powerful Pro Yakyuu '96 - Kaimaku Ban (JP, Rev 1)",42644,True,Libretro regional filename,https://thumbnails.libretro.com/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Boxarts/Jikkyou%20Powerful%20Pro%20Yakyuu%20%2796%20-%20Kaimaku%20Ban%20%28Japan%29.png,200,,,0,,,
"Jikkyou Powerful Pro Yakyuu 3 - '97 Haru (JP, Rev 1)",42733,True,Libretro regional filename,https://thumbnails.libretro.com/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Boxarts/Jikkyou%20Powerful%20Pro%20Yakyuu%203%20-%20%2797%20Haru%20%28Japan%29.png,200,,,0,,,
"Jissen! Pachi-Slot Hisshouhou! 2 (JP, Rev 1)",42256,True,Libretro regional filename,https://thumbnails.libretro.com/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Boxarts/Jissen%21%20Pachi-Slot%20Hisshouhou%21%202%20%28Japan%29.png,200,,,0,,,
Kaite Tsukutte Asoberu Dezaemon (Daioh Gale - English Translated by Aeon Genesis With Bugfixes by Mwksoul),67611,True,Libretro regional filename,https://thumbnails.libretro.com/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Boxarts/Kaite%20Tsukutte%20Asoberu%20Dezaemon%20%28Japan%29.png,200,,,0,,,
"Kamen Rider (JP, Rev 1)",76063,True,Libretro regional filename,https://thumbnails.libretro.com/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Boxarts/Kamen%20Rider%20%28Japan%29.png,200,,,0,,,
Kessen! Dokapon Oukoku IV - Densetsu no Yuusha-tachi (English Translated by Krokodyl),37963,True,Libretro regional filename,https://thumbnails.libretro.com/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Boxarts/Kessen%21%20Dokapon%20Oukoku%20IV%20-%20Densetsu%20no%20Yuusha-tachi%20%28Japan%29.png,200,,,0,,,
Kick Off 3 - European Challenge (NTSC Conversion),45708,True,IGDB image fallback,,,,,0,,https://images.igdb.com/igdb/image/upload/t_cover_big_2x/co5z1v.jpg,200
Kidou Senshi Gundam - Cross Dimension 0079 (English Translated by Aeon Genesis),67615,True,Libretro regional filename,https://thumbnails.libretro.com/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Boxarts/Kidou%20Senshi%20Gundam%20-%20Cross%20Dimension%200079%20%28Japan%29.png,200,,,0,,,
Kidou Senshi Gundam F91 - Formula Senki 0122 (English Translated by Aeon Genesis With FastROM Hack by ComboKyo),67614,True,Libretro regional filename,https://thumbnails.libretro.com/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Boxarts/Kidou%20Senshi%20Gundam%20F91%20-%20Formula%20Senki%200122%20%28Japan%29.png,200,,,0,,,
Kidou Senshi V Gundam (English Translated by Twilight Translations),42518,True,Libretro regional filename,https://thumbnails.libretro.com/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Boxarts/Kidou%20Senshi%20V%20Gundam%20%28Japan%29.png,200,,,0,,,
"Kigurumi Daibouken - Dream Maze (English Translated by KingMike's Translations, Rev 1b)",,False,Manual review or artwork still needed,,,,,0,Unidentified ROM: title-only results may be another platform or game,,
"Kikou Keisatsu - Metal Jack (English Translated by MrRichard999, FlashPV, and Jink640, Rev 2)",38212,True,IGDB image fallback,,,,,0,,https://images.igdb.com/igdb/image/upload/t_cover_big_2x/co2l27.jpg,200
"Kirby no Kirakira Kizzu (English Translated by TheDanaAddams, Rev 1.1)",,False,Manual review or artwork still needed,,,,,0,Unidentified ROM: title-only results may be another platform or game,,
Kishin Douji Zenki - Batoru Raiden (English Translated by Dynamic Designs),,False,Manual review or artwork still needed,,,,,0,Unidentified ROM: title-only results may be another platform or game,,
"Kouryuu no Mimi (English Translated by RPGOne, Rev 2)",,False,Libretro regional filename,https://thumbnails.libretro.com/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Boxarts/Kouryuu%20no%20Mimi%20%28Japan%29.png,200,5280637,https://www.steamgriddb.com/game/5280637,1,Unidentified ROM: title-only results may be another platform or game,,
"Kyuuyaku Megami Tensei I-II (English Translated, Rev 1.1)",,False,Manual review or artwork still needed,,,,,0,Unidentified ROM: title-only results may be another platform or game,,
"Little Master - Nijiiro no Maseki (English Translated by DackR, Rev 2b)",77085,True,Libretro regional filename; SteamGridDB title/year candidate,https://thumbnails.libretro.com/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Boxarts/Little%20Master%20-%20Nijiiro%20no%20Maseki%20%28Japan%29.png,200,37766,https://www.steamgriddb.com/game/37766,2,,,
Lobo (Prototype),86130,True,IGDB image fallback,,,5434866,https://www.steamgriddb.com/game/5434866,0,,https://images.igdb.com/igdb/image/upload/t_cover_big_2x/co2w3j.jpg,200
"MACS Basic Rifle Marksmanship (NA, Rev 1.1e)",,False,Manual review or artwork still needed,,,,,0,Unidentified ROM: title-only results may be another platform or game,,
"Madou Monogatari - Hanamaru Daiyouchi Enji (English Translated by Aeon Genesis, Rev 1.01)",110397,True,SteamGridDB title/year candidate,,,5407146,https://www.steamgriddb.com/game/5407146,2,,,
"Mahou Kishi Rayearth (English Translated by RPGe, Rev 1.01 With Fixes by MTeam, Rev 1.02)",38375,True,SteamGridDB title/year candidate,,,5454712,https://www.steamgriddb.com/game/5454712,6,,,
Mahou Poipoi Poitto! (English Translated by KingMike's Translations),42377,True,IGDB image fallback,,,,,0,,https://images.igdb.com/igdb/image/upload/t_cover_big_2x/co3smd.jpg,200
"Masters New - Harukanaru Augusta 3 (JP, Rev 1)",37932,True,Libretro regional filename,https://thumbnails.libretro.com/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Boxarts/Masters%20New%20-%20Harukanaru%20Augusta%203%20%28Japan%29.png,200,,,0,,,
Mer Wars (Prototype),264310,True,IGDB image fallback,,,,,0,,https://images.igdb.com/igdb/image/upload/t_cover_big_2x/co9tuk.jpg,200
Mick & Mack as the Global Gladiators (Prototype),,False,Manual review or artwork still needed,,,,,0,Unidentified ROM: title-only results may be another platform or game,,
